phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,6,79
50,400,3.65,1*threshold,6,81
50,400,3.65,1*threshold,6,84
50,400,3.65,1*threshold,6,86
50,400,3.65,1*threshold,6,89
50,400,3.65,1*threshold,6,91
50,400,3.65,1*threshold,6,94
50,400,3.65,1*threshold,6,96
50,400,3.65,1*threshold,6,99
50,400,3.65,1*threshold,6,101
50,400,3.65,1*threshold,6,104
50,400,3.65,1*threshold,6,106
50,400,3.65,1*threshold,6,109
50,400,3.65,1*threshold,6,111
50,400,3.65,1*threshold,6,114
50,400,3.65,1*threshold,6,116
50,400,3.65,1*threshold,6,119
50,400,3.65,1*threshold,6,121
50,400,3.65,1*threshold,6,124
