measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
124,1000,briaire_05,302.654603672655,2.306,2.6842105263157894
124,1000,briaire_05,326.3922196469809,2.304,2.894736842105263
124,1000,briaire_05,350.1298356213068,2.301,3.1052631578947367
124,1000,briaire_05,373.8674515956327,2.299,3.3157894736842106
124,1000,briaire_05,397.6050675699586,2.2969999999999997,3.526315789473684
124,1000,briaire_05,421.34268354428445,2.2950000000000004,3.7368421052631575
124,1000,briaire_05,445.08029951861033,2.294,3.9473684210526314
124,1000,briaire_05,468.81791549293627,2.292,4.157894736842105
124,1000,briaire_05,492.55553146726214,2.2909999999999995,4.368421052631579
124,1000,briaire_05,516.293147441588,2.2889999999999993,4.578947368421052
124,1000,briaire_05,540.0307634159138,2.2880000000000003,4.789473684210526
124,1000,briaire_05,563.7683793902398,2.287,5.0
124,1500,briaire_05,372.29362800717354,2.4129999999999994,1.0
124,1500,briaire_05,450.6712339034206,2.332,1.2105263157894737
124,1500,briaire_05,529.0488397996677,2.321,1.4210526315789473
124,1500,briaire_05,607.4264456959147,2.313,1.631578947368421
124,1500,briaire_05,685.8040515921618,2.307,1.8421052631578947
124,1500,briaire_05,764.1816574884087,2.3029999999999995,2.052631578947368
124,1500,briaire_05,842.5592633846559,2.299,2.263157894736842
124,1500,briaire_05,920.936869280903,2.2959999999999994,2.473684210526316
124,1500,briaire_05,999.31447517715,2.2929999999999997,2.6842105263157894
124,1500,briaire_05,1077.692081073397,2.2909999999999995,2.894736842105263
124,1500,briaire_05,1156.0696869696442,2.2889999999999993,3.1052631578947367
124,1500,briaire_05,1234.4472928658913,2.287,3.3157894736842106
124,1500,briaire_05,1312.8248987621382,2.2849999999999997,3.526315789473684
124,1500,briaire_05,1391.2025046583851,2.2829999999999995,3.7368421052631575
124,1500,briaire_05,1469.5801105546323,2.281,3.9473684210526314
124,1500,briaire_05,1547.9577164508796,2.28,4.157894736842105
124,1500,briaire_05,1626.3353223471265,2.2779999999999996,4.368421052631579
124,1500,briaire_05,1704.7129282433734,2.2769999999999997,4.578947368421052
124,1500,briaire_05,1783.0905341396206,2.2759999999999994,4.789473684210526
124,1500,briaire_05,1861.4681400358677,2.275,5.0
124,2000,briaire_05,871.8146897852422,2.34,1.0
124,2000,briaire_05,1055.3546244768722,2.3219999999999996,1.2105263157894737
124,2000,briaire_05,1238.894559168502,2.313,1.4210526315789473
124,2000,briaire_05,1422.434493860132,2.306,1.631578947368421
124,2000,briaire_05,1605.974428551762,2.301,1.842105263157895
124,2000,briaire_05,1789.5143632433917,2.2969999999999997,2.052631578947368
124,2000,briaire_05,1973.0542979350219,2.2929999999999997,2.263157894736842
124,2000,briaire_05,2156.594232626652,2.2899999999999996,2.473684210526316
124,2000,briaire_05,2340.134167318282,2.287,2.68421052631579
124,2000,briaire_05,2523.6741020099116,2.2839999999999994,2.894736842105263
124,2000,briaire_05,2707.2140367015413,2.282,3.1052631578947367
124,2000,briaire_05,2890.7539713931715,2.28,3.31578947368421
124,2000,briaire_05,3074.2939060848016,2.2779999999999996,3.526315789473684
124,2000,briaire_05,3257.833840776431,2.2759999999999994,3.7368421052631575
124,2000,briaire_05,3441.373775468061,2.274,3.947368421052631
124,2000,briaire_05,3624.9137101596916,2.2729999999999997,4.157894736842105
124,2000,briaire_05,3808.453644851321,2.2709999999999995,4.368421052631579
124,2000,briaire_05,3991.993579542951,2.2699999999999996,4.578947368421052
124,2000,briaire_05,4175.53351423458,2.2680000000000002,4.789473684210526
124,2000,briaire_05,4359.073448926211,2.267,5.0
124,3000,briaire_05,2836.188431084156,2.332,1.0
124,3000,briaire_05,3433.280732365031,2.3179999999999996,1.2105263157894737
124,3000,briaire_05,4030.3730336459057,2.3089999999999993,1.4210526315789473
124,3000,briaire_05,4627.465334926781,2.301999999999999,1.631578947368421
